,city,lat,lon,temp_max,humidity,clouds,wind,country,description
190,gacko,43.17,18.54,53.6,93,40,2.24,BA,scattered clouds
191,lebu,-37.62,-73.65,50.86,85,100,11.72,CL,light rain
192,nishihara,26.18,127.76,82.4,54,20,13.87,JP,few clouds
193,vuktyl,63.86,57.31,30.79,98,100,8.63,RU,overcast clouds
194,taiyuan,37.87,112.56,50.0,43,0,2.24,CN,light rain
195,nemuro,43.32,145.57,53.6,76,75,2.24,JP,broken clouds
196,lerwick,60.15,-1.15,50.0,81,8,13.87,GB,clear sky
197,moranbah,-22.0,148.05,86.74,39,5,12.71,AU,clear sky
198,quixeramobim,-5.2,-39.29,76.5,76,14,5.64,BR,few clouds
199,komsomolskiy,40.43,71.72,48.2,61,100,2.24,UZ,light rain
200,cangzhou,38.32,116.87,58.93,28,90,5.39,CN,overcast clouds
201,namatanai,-3.67,152.43,86.41,65,25,1.43,PG,scattered clouds
202,concordia,-31.39,-58.02,62.01,53,0,4.85,AR,clear sky
203,ketchikan,55.34,-131.65,46.4,100,20,0.76,US,few clouds
204,kavieng,-2.57,150.8,84.67,66,73,3.49,PG,broken clouds
205,south lake tahoe,38.93,-119.98,51.8,31,1,6.8,US,clear sky
206,katobu,-4.94,122.53,92.21,43,40,3.78,ID,scattered clouds
207,saint anthony,45.02,-93.22,32.0,92,90,10.29,US,overcast clouds
208,fare,-16.7,-151.02,80.58,81,23,18.68,PF,few clouds
209,adrar,20.5,-10.07,80.6,18,0,11.54,MR,clear sky
210,axim,4.87,-2.24,78.44,86,97,7.34,GH,light rain
211,diamantino,-14.41,-56.45,75.81,90,100,7.4,BR,heavy intensity rain
212,lorengau,-2.02,147.27,86.54,63,60,2.51,PG,broken clouds
213,khorinsk,52.17,109.77,30.42,81,0,1.16,RU,clear sky
214,hambantota,6.12,81.12,80.19,77,89,6.82,LK,overcast clouds
215,grindavik,63.84,-22.43,39.2,55,0,27.51,IS,clear sky
216,taywarah,33.35,64.42,27.01,80,0,6.2,AF,clear sky
217,antalaha,-14.9,50.28,69.12,87,1,6.44,MG,clear sky
218,walvis bay,-22.96,14.51,57.99,82,100,4.7,NA,overcast clouds
219,christchurch,-43.53,172.63,59.0,62,60,13.87,NZ,broken clouds
220,tambura,5.6,27.47,68.13,94,99,1.43,SS,overcast clouds
221,morant bay,17.88,-76.41,82.4,83,20,6.93,JM,few clouds
222,vysokogornyy,50.12,139.15,38.77,74,74,3.18,RU,broken clouds
223,farafangana,-22.82,47.83,69.91,89,2,3.51,MG,clear sky
224,constitucion,-35.33,-72.42,49.23,82,3,5.23,CL,clear sky
225,svinita,44.5,22.11,55.0,8,91,3.09,RO,overcast clouds
226,nicoya,10.15,-85.45,75.38,92,97,2.1,CR,overcast clouds
227,padang,-0.95,100.35,84.34,60,23,3.04,ID,few clouds
228,minggang,32.46,114.05,61.61,51,82,12.01,CN,moderate rain
229,along,28.17,94.77,68.9,70,0,0.94,IN,clear sky
230,kilosa,-6.83,36.98,70.34,83,72,3.15,TZ,broken clouds
231,port augusta,-32.5,137.77,68.0,52,0,6.93,AU,clear sky
232,zonguldak,41.25,31.83,55.09,65,4,2.55,TR,clear sky
233,batesville,35.77,-91.64,46.0,100,90,3.36,US,mist
234,ancud,-41.87,-73.82,48.0,93,90,8.05,CL,light intensity shower rain
235,altay,47.87,88.12,39.6,57,30,2.57,CN,scattered clouds
236,yazykovo,55.22,56.14,28.47,92,93,6.51,RU,overcast clouds
237,kalmar,56.66,16.36,50.0,93,0,6.93,SE,clear sky
238,tsabong,-26.02,22.4,77.32,24,64,8.43,BW,broken clouds
239,mino,34.83,135.47,66.99,59,0,3.36,JP,clear sky
240,bandarban,22.2,92.23,80.6,88,20,1.63,BD,haze
241,rorvik,64.86,11.24,44.82,77,23,12.8,NO,few clouds
242,inuvik,68.35,-133.72,10.4,92,75,3.83,CA,broken clouds
243,ilulissat,69.22,-51.1,14.0,61,82,2.48,GL,broken clouds
244,lagoa,39.05,-27.98,62.47,63,100,8.16,PT,overcast clouds
245,sorland,67.67,12.69,46.72,65,100,5.97,NO,overcast clouds
246,straumen,63.87,11.3,43.0,100,0,6.93,NO,clear sky
247,lubango,-14.92,13.49,59.43,84,6,3.13,AO,clear sky
248,coronado,32.69,-117.18,69.8,36,1,8.05,US,clear sky
249,moron,-34.65,-58.62,62.01,77,50,1.99,AR,scattered clouds
250,khotyn,48.48,26.5,54.0,94,0,1.99,UA,clear sky
251,ixtapa,20.7,-105.2,84.2,79,75,5.82,MX,broken clouds
252,mae sot,16.72,98.57,77.83,77,100,1.19,TH,moderate rain
253,vanavara,60.34,102.28,21.43,92,100,12.08,RU,overcast clouds
254,atbasar,51.8,68.33,27.37,93,99,16.69,KZ,overcast clouds
255,luganville,-15.53,167.17,84.2,74,40,10.29,VU,scattered clouds
256,saint-joseph,-21.37,55.62,69.8,64,0,4.7,RE,clear sky
257,puerto lempira,15.27,-83.77,78.91,88,100,5.37,HN,overcast clouds
258,ingham,42.6,-84.38,37.4,93,90,7.58,US,overcast clouds
259,zhigansk,66.77,123.37,-4.38,91,78,2.15,RU,broken clouds
260,plouzane,48.38,-4.62,53.6,81,97,16.11,FR,overcast clouds
261,ishigaki,24.34,124.16,80.6,69,20,13.87,JP,few clouds
262,pacific grove,36.62,-121.92,64.0,31,0,2.13,US,clear sky
263,bairiki,1.33,172.98,86.0,66,20,5.82,KI,few clouds
264,antibes,43.56,7.13,53.6,66,0,9.17,FR,clear sky
265,dalvik,65.97,-18.53,35.6,80,90,6.93,IS,overcast clouds
266,west bay,19.37,-81.42,82.99,83,0,5.82,KY,clear sky
267,cuenca,-2.88,-78.98,57.2,87,100,2.24,EC,overcast clouds
268,da nang,16.07,108.22,75.2,94,90,38.03,VN,heavy intensity rain
269,clyde river,70.47,-68.59,10.4,66,1,6.93,CA,clear sky
270,kontagora,10.4,5.47,72.36,40,100,2.21,NG,overcast clouds
271,fort-shevchenko,44.51,50.26,42.13,60,0,18.25,KZ,clear sky
272,mount darwin,-16.77,31.58,66.76,62,0,7.96,ZW,clear sky
273,houma,29.6,-90.72,79.0,94,90,3.36,US,overcast clouds
274,humaita,-7.51,-63.02,75.07,95,91,2.93,BR,overcast clouds
275,maradi,13.5,7.1,77.67,17,0,7.65,NE,clear sky
276,airai,-8.93,125.41,74.91,65,34,3.33,TL,scattered clouds
277,namibe,-15.2,12.15,70.65,81,0,4.68,AO,clear sky
278,emba,48.83,58.14,29.17,93,0,6.35,KZ,clear sky
279,juba,4.85,31.58,72.9,86,29,0.22,SS,light rain
280,paragould,36.06,-90.5,46.4,93,90,6.93,US,mist
281,ayan,56.45,138.17,34.52,89,100,10.92,RU,overcast clouds
282,los negros,-17.73,-63.43,77.0,73,0,9.17,BO,clear sky
283,berlevag,70.86,29.09,38.91,79,100,12.1,NO,overcast clouds
284,buenos aires,-34.61,-58.38,62.6,63,0,8.05,AR,clear sky
285,bulgan,48.81,103.53,36.68,67,0,3.15,MN,clear sky
286,kendari,-3.94,122.5,88.92,53,15,4.68,ID,few clouds
287,chuy,-33.7,-53.46,62.4,96,100,11.88,UY,light rain
288,huaraz,-9.53,-77.53,55.29,62,100,3.91,PE,overcast clouds
289,quelimane,-17.88,36.89,75.2,88,40,2.24,MZ,scattered clouds
